id,player_api_id,player_name,birthday,weight (kg),height (cm)
1,505942,Aaron Appindangoye,1992-02-29,84.8,183
2,155782,Aaron Cresswell,1989-12-15,66.2,170
3,162549,Aaron Doran,1991-05-13,73.9,170
4,30572,Aaron Galindo,1982-05-08,89.8,183
5,23780,Aaron Hughes,1979-11-08,69.9,183
6,27316,Aaron Hunt,1986-09-04,73.0,183
7,564793,Aaron Kuhl,1996-01-3,66.2,173
8,30895,Aaron Lennon,1987-04-16,63.0,165
9,528212,Aaron Lennox,1993-02-19,82.1,190
10,101042,Aaron Meijers,1987-10-28,77.1,175
11,23889,Aaron Mokoena,1980-11-25,82.1,183
12,231592,Aaron Mooy,1990-09-15,68.0,175
13,163222,Aaron Muirhead,1990-08-3,76.2,188
14,40719,Aaron Niguez,1989-04-26,64.9,170
15,75489,Aaron Ramsey,1990-12-26,69.9,178
16,597948,Aaron Splaine,1996-10-13,73.9,173
17,161644,Aaron Taylor-Sinclair,1991-04-08,79.8,183
18,23499,Aaron Wilbraham,1979-10-21,72.1,190
19,120919,Aatif Chahechouhe,1986-07-02,68.0,175
20,46447,Abasse Ba,1976-07-12,83.9,188
21,167027,Abdelaziz Barrada,1989-06-19,73.0,178
22,245653,Abdelfettah Boukhriss,1986-10-22,73.0,185
23,128456,Abdelhamid El Kaoutari,1990-03-17,73.0,180
24,42664,Abdelkader Ghezzal,1984-12-05,78.0,183
25,425950,Abdellah Zoubir,1991-12-05,73.0,180
26,38423,Abdelmajid Oulmers,1978-09-12,64.9,173
27,3264,Abdelmalek Cherrad,1981-01-14,74.8,185
28,467485,Abdelmalek El Hasnaoui,1994-02-09,72.1,180
29,306735,Abdelouahed Chakhsi,1986-10-01,77.1,183
30,41659,Abderrazak Jadid,1983-06-01,71.2,178
31,31684,Abdeslam Ouaddou,1978-11-01,82.1,190
32,32637,Abdessalam Benjelloun,1985-01-28,81.2,188
33,563215,Abdou Diallo,1996-05-04,72.1,183
34,41093,Abdou Traore,1988-01-17,78.9,180
35,564712,Abdoul Ba,1994-02-08,96.2,201
36,67334,Abdoul Karim Yoda,1988-10-25,73.0,183
37,173955,Abdoul Razzagui Camara,1990-02-2,71.2,178
38,39562,Abdoulay Konko,1984-03-09,71.2,183
39,191784,Abdoulaye Ba,1991-01-01,78.9,198
40,210400,Abdoulaye Bamba,1990-04-25,68.0,183
41,201915,Abdoulaye Diaby,1991-05-21,69.9,173
42,194479,"Abdoulaye Diallo Sadio,22",1990-12-28,76.2,183
43,189181,Abdoulaye Diallo,1992-03-3,78.9,188
44,352887,Abdoulaye Doucoure,1993-01-01,74.8,183
45,40005,Abdoulaye Faye,1978-02-26,98.9,188
46,409003,Abdoulaye Keita,1994-01-05,74.8,175
47,37280,Abdoulaye Meite,1980-10-06,82.1,185
48,439366,Abdoulaye Toure,1994-03-03,77.1,188
49,148827,Abdoulwahid Sissoko,1990-03-2,74.8,183
50,173011,Abdourahman Dampha,1991-12-27,76.2,183
51,419681,Abdul Aziz Tetteh,1989-02-1,86.2,183
52,196947,Abdul Majeed Waris,1991-09-19,71.2,173
53,89405,Abdul Osman,1987-02-27,69.9,183
54,324910,Abdul Rahman Baba,1994-07-02,69.9,178
55,67952,Abdul-Yakinu Iddi,1986-05-25,66.2,173
56,31012,Abdulkader Keita,1981-08-06,78.0,183
57,176301,Abdulla Fatadi,1985-11-02,78.0,175
58,307227,Abdullah Al Hafith,1992-12-25,74.8,188
59,176302,Abdullah Omar,1987-01-01,71.2,175
60,525595,Abdullahi Shehu,1993-03-12,72.1,180
61,24385,Abel Aguilar,1985-01-06,79.8,185
62,29904,Abel Gomez,1982-02-2,74.8,183
63,105548,Abel Hernandez,1990-08-08,73.0,185
64,172875,Abel Issa Camara,1990-01-06,81.2,185
65,302985,Abel Khaled,1992-11-09,67.1,180
66,240556,Abel Tamata,1990-12-05,77.1,183
67,40938,Abel,1978-12-22,74.8,178
68,37422,Abella Perez Damia,1982-04-15,78.9,188
