name,country_code,height,birth_date,birth_place,nickname
FROMM Christian,GER,204,1990-08-15,Berlin,
GROZER Gyorgy,GER,200,1984-11-27,Budapest,
KAMPA Lukas,GER,196,1986-11-29,Bochum,
KARLITZEK Moritz,GER,191,1996-08-12,Hammelburg,Kalli
KRICK Tobias,GER,210,1998-10-22,Bingen Am Rhein,
REICHERT Moritz,GER,194,1995-03-15,Lebach,
SCHOTT Ruben,GER,193,1994-07-08,Berlin,
ZENGER Julian,GER,190,1997-08-26,Wangen Im Allgau,
ZIMMERMANN Jan,GER,190,1993-02-12,Tubingen,
BREHME Anton,GER,206,1999-08-10,Leipzig,
MAASE Lukas,GER,208,1998-08-28,Dresden,Jenia
TILLE Johannes,GER,186,1997-05-07,Muhldorf,
BRAND Tobias,GER,193,1998-07-09,Mainz,Tobi
BRIZARD Antoine,FRA,196,1994-05-22,Poitiers,La Briz
CARLE Timothee,FRA,195,1995-11-30,,
CHINENYEZE Barthelemy,FRA,204,1998-02-28,Coudekerque-branche,Babar
CLEVENOT Trevor,FRA,199,1994-06-28,Royan,Trev
FAURE Theo,FRA,202,1999-10-12,,
GREBENNIKOV Jenia,FRA,188,1990-08-13,Rennes,"Louzbek, Grebe"
JOUFFROY Quentin,FRA,202,1993-07-05,Grenoble,
le GOFF Nicolas,FRA,206,1992-02-15,Paris,
LOUATI Yacine,FRA,198,1992-03-04,Tourcoing,
NGAPETH Earvin,FRA,194,1991-02-12,Saint-raphael,"Pepethe, Magic"
PATRY Jean,FRA,207,1996-12-27,Montpellier,"Jeannot, Jean Patoune"
TILLIE Kevin,FRA,200,1990-11-02,Cagnes-sur-mer,K2
TONIUTTI Benjamin,FRA,183,1989-10-30,Mulhouse,Totti
BIENIEK Mateusz,POL,210,1994-04-05,Blachownia,"Bieniu, Visotto"
BOLADZ Bartlomiej,POL,203,1994-09-28,Krzyz Wielkopolski,
FORNAL Tomasz,POL,198,1997-08-31,Krakow,
HUBER Norbert,POL,204,1998-08-14,Brzoz?w,
JANUSZ Marcin,POL,196,1994-07-31,Nowy S?cz,
KACZMAREK Lukasz,POL,204,1994-06-29,Krotoszyn,Zwierzu
KOCHANOWSKI Jakub,POL,199,1997-07-17,Gizycko,"Kochan, Kuba"
KUREK Bartosz,POL,207,1988-08-29,Walbrzych,Kuras
LEON VENERO Wilfredo,POL,202,1993-07-31,Santiago De Cuba,"Fifi, Wifi"
LOMACZ Grzegorz,POL,187,1987-10-01,Ostroleka,Gregor
SEMENIUK Kamil,POL,195,1996-07-16,Kedzierzyn-kozle,Maszyna (Machine)
SLIWKA Aleksander,POL,196,1995-05-24,Jawor,"Olek, Sliwek"
ZATORSKI Pawel,POL,184,1990-06-21,Lodz,"Zati, Zator, Duracell"
SANCHEZ PAGES Matias,ARG,175,1996-09-20,San Juan,Mati
MARTINEZ FRANCHI Jan,ARG,190,1998-01-28,,
PALONSKY Luciano,ARG,198,1999-07-08,Buenos Aires,Lulo
LOSER Agustin,ARG,198,1997-10-12,General Alvear,
DANANI Santiago,ARG,176,1995-12-12,Buenos Aires,
PALACIOS Ezequiel,ARG,198,1992-10-02,San Martin,Pala
LIMA Bruno,ARG,198,1996-02-04,San Juan,El Nene
de CECCO Luciano,ARG,191,1988-06-02,Santa Fe,"Gordo, Cachete, Lu"
KOUKARTSEV Pablo Sergio,ARG,203,1993-03-25,Buenos Aires,Kuka
VICENTIN Luciano,ARG,197,2000-04-04,Parana,Luchi
RAMOS Martin,ARG,197,1991-08-26,Buenos Aires,El Turco
ZERBA Nicolas,ARG,203,1999-06-13,Buenos Aires,Nico
CONTE Facundo,ARG,197,1989-08-25,Vicente Lopez,Facu
ELHADDAD Mohamed Osman,EGY,212,2000-09-22,,
ABDELSALAM ABDELMOATY Mostafa Gaber,EGY,191,1997-07-25,,
ISSA Mohamed Moustafa,EGY,200,1988-04-12,,Le'ba
MASOUD Mohamed,EGY,211,1994-05-01,,Dola
ABDELRAHMAN Ahmed Azab,EGY,194,2000-03-01,,
OMAR Ahmed,EGY,196,1995-03-04,,
ABDALLA Hossam,EGY,203,1988-02-16,Damanhur,
HAIKAL Reda,EGY,198,1990-11-07,Cairo,
ALY Seifeldin Hassan,EGY,198,1999-07-14,Giza,
EISSA Abdelrahman Elhossiny,EGY,186,2001-08-24,Cairo,
SEOUDY Abdelrahman,EGY,207,1997-08-21,,
SAYEDIN Mohamed,EGY,192,1996-04-01,,
HASSAN Mohamed,EGY,175,1993-09-28,,
MA'A Micah,USA,192,1997-04-16,Hawaii,
ANDERSON Matthew,USA,202,1987-04-18,"Buffalo, Ny",Pup
AVERILL Taylor,USA,201,1992-03-05,"Portland, Or",
CHRISTENSON Micah,USA,198,1993-05-08,"Honolulu, Hi",
DEFALCO Torey,USA,198,1997-04-10,"Springfield, Mo",TJ
ENSING Kyle,USA,201,1997-03-06,"Santa Clarita, Ca",Drone
HOLT Maxwell,USA,205,1987-03-12,"Cincinatti, Oh",Max
JAESCHKE Thomas,USA,198,1993-09-04,"Wheaton, Il",
JENDRYK II Jeffrey,USA,208,1995-09-15,"Wheaton, Il",Jungle Cat
MUAGUTUTIA Garrett,USA,196,1988-02-26,"Oceanside, Ca",
RUSSELL Aaron,USA,205,1993-06-04,"Arbutus, Md",
SHOJI Erik,USA,184,1989-08-24,"Honolulu, Hi",
SMITH David,USA,201,1985-05-15,"Panorama City, Ca",Dave
TAKAHASHI Ran,JPN,188,2001-09-02,Kyoto,
TAKAHASHI Kentaro,JPN,202,1995-02-08,Kawanishi,
TOMITA Shoma,JPN,190,1997-06-20,Mishima,Pigmon
FUKATSU Akihiro,JPN,183,1987-07-23,Toyota,Aki
KAI Masato,JPN,200,2003-09-25,Nobeoka,
MIYAURA Kento,JPN,190,1999-02-22,Arao,
YAMAMOTO Tomohiro,JPN,171,1994-11-05,Ebetsu,Tomo
ISHIKAWA Yuki,JPN,191,1995-12-11,Okazaki,
ONODERA Taishi,JPN,200,1996-02-27,Natori,
YAMAUCHI Akihiro,JPN,204,1993-11-30,Nagoya,Yama
NISHIDA Yuji,JPN,187,2000-01-30,Inabe,"Yu, Yuji"
SEKITA Masahiro,JPN,175,1993-11-20,Tokyo,Goripon (Japanese cartoon character who looks like a gorilla)
SBERTOLI Riccardo,ITA,188,1998-05-23,Milan,Ricky
GIANNELLI Simone,ITA,200,1996-08-09,Bolanzo,Simo
MICHIELETTO Alessandro,ITA,205,2001-12-05,Desenzano,Ale
LAVIA Daniele,ITA,200,1999-11-04,Cariati,
BOVOLENTA Alessandro Alberto,ITA,202,2004-05-27,Rome,Bovo
GALASSI Gianluca,ITA,201,1997-07-24,Trento,
ROMANO Yuri,ITA,201,1997-07-26,Monza,
SANGUINETTI Giovanni,ITA,203,2000-04-14,Bologna,
RUSSO Roberto,ITA,207,1997-02-23,Palermo,
BOTTOLO Mattia,ITA,196,2000-01-03,Bassano Del Grappa,
BALASO Fabio,ITA,178,1995-10-20,Camposampiero,
PORRO Luca,ITA,193,2004-05-09,Genoa,
van BERKEL Lucas,CAN,210,1991-11-29,"Edmonton, Ab",
LUI Justin,CAN,178,2000-05-08,,
WALSH Brett James,CAN,196,1994-02-19,"Calgary, Ab",
HOFER Brodie,CAN,200,2000-04-27,,
SZWARC Arthur,CAN,209,1995-03-30,"Toronto, On",Il Taglialegna (The Woodcutter)
DEMYANENKO Danny,CAN,196,1994-07-13,"Toronto, On",
HOAG Nicholas,CAN,200,1992-08-19,"Gatineau, Qc",
HERR Luke,CAN,192,1994-07-18,"Three Hills, Ab",
KETRZYNSKI Xander,CAN,208,2000-01-27,,
LOEPPKY Eric,CAN,197,1998-08-01,"Steinbach, Mb",
MAAR Stephen Timothy,CAN,201,1994-12-06,"Scarborough, On",
BARNES Ryley Brendan,CAN,200,1993-10-11,"Edmonton, Ab",Barncat
McCARTHY Fynnian Lionel,CAN,200,1999-12-04,"Kelowna, Bc",
LAURENZANO Gabriele,ITA,176,2003-06-12,,
ATANASIJEVIC Aleksandar,SRB,200,1991-09-04,Belgrade,Bata
IVOVIC Marko,SRB,194,1990-12-22,Belgrade,Mali
JOVOVIC Nikola,SRB,197,1992-02-13,Novi Sad,
KAPUR Milorad,SRB,181,1991-03-05,,"Momo, Mićko"
KOVACEVIC Uros,SRB,197,1993-05-06,Kraljevo,
KRSMANOVIC Petar,SRB,205,1990-06-01,Cacak,
KUJUNDZIC Miran,SRB,196,1997-06-19,Subotica,
LUBURIC Drazen,SRB,202,1993-11-02,Novi Sad,
MASULOVIC Nemanja,SRB,205,1995-10-05,Nis,
NEDELJKOVIC Aleksandar,SRB,205,1997-10-27,Vranje,
PERIC Pavle,SRB,207,1998-08-07,Prokuplje,
PODRASCANIN Marko,SRB,204,1987-08-29,Novi Sad,Potke
TODOROVIC Vuk,SRB,190,1998-04-23,,
FERNANDES P.X.CAVALCANTE Adriano,BRA,201,2002-02-06,Ituiutaba,
SOUZA Alan,BRA,202,1994-03-21,Rio De Janeiro,
REZENDE Bruno Mossa,BRA,190,1986-07-02,Rio De Janeiro,Bruninho
FERREIRA SOUZA Darlan,BRA,192,2002-06-24,,
RESENDE GUALBERTO Flavio,BRA,199,1993-04-22,Pimenta,
GIL KRELING Fernando,BRA,186,1996-01-13,Caxias Do Sul,"Cachopa (Portuguese for beehive, because of his hair)"
HONORATO Henrique Dantas Nobrega,BRA,190,1997-03-18,Campina Grande,
SANTOS Isac,BRA,208,1990-12-13,Sao Goncalo,Newton
BERGMANN Lukas Felipe,BRA,204,2004-03-25,Munich,
SAATKAMP Lucas,BRA,209,1986-03-06,Colinas,Lucao
SOUZA Ricardo Lucarelli,BRA,196,1992-02-14,Contagem,"Lucao, Luca"
HOSS Thales,BRA,190,1989-04-26,Sao Leopoldo,
LEAL HIDALGO Yoandy,BRA,202,1988-08-31,Havana,
OTSUKA Tatsunori,JPN,194,2000-11-05,Hirakata,Tatsu
PAJENK Alen,SLO,203,1986-04-23,Maribor,
VINCIC Dejan,SLO,200,1986-09-15,Velenje,Vinko
ROPRET Gregor,SLO,192,1989-03-01,Ljubljana,
KOZAMERNIK Jan,SLO,204,1995-12-24,Ljubljana,
KOVACIC Jani,SLO,186,1992-06-14,Sempeter Pri Gorici,
CEBULJ Klemen,SLO,202,1992-02-21,Slovenj Gradec,Ceba
MUJANOVIC Nik,SLO,206,2004-10-14,,Mujo
MOZIC Rok,SLO,200,2002-01-17,Maribor,
STALEKAR Saso,SLO,214,1996-05-03,Slovenj Gradec,
URNAUT Tine,SLO,200,1988-09-03,Slovenj Gradec,
STERN Toncek,SLO,200,1995-11-14,Maribor,
PLANINSIC Uros,SLO,186,1998-05-09,Maribor,
STERN Ziga,SLO,193,1994-01-02,Maribor,
