season,season_type,team_id_home,game_id,game_date,min,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,team_id_away,fgm_away,fga_away,fg_pct_away,fg3m_away,fg3a_away,fg3_pct_away,ftm_away,fta_away,ft_pct_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away
2022-2023,Regular Season,1610612738,22200001,2022-10-18,240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,11,24,126,1610612755,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117
2022-2023,Regular Season,1610612744,22200002,2022-10-18,240,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,1610612747,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,22,18,109
2022-2023,Regular Season,1610612765,22200003,2022-10-19,240,40,94,0.426,14,38,0.368,19,24,0.792,12,29,41,31,11,4,13,21,113,1610612753,42,86,0.488,11,30,0.367,14,19,0.737,10,38,48,21,5,5,18,24,109
2022-2023,Regular Season,1610612762,22200012,2022-10-19,240,42,83,0.506,16,38,0.421,23,31,0.742,11,32,43,27,10,1,20,21,123,1610612743,40,83,0.482,5,22,0.227,17,18,0.944,10,25,35,21,10,3,21,23,102
2022-2023,Regular Season,1610612751,22200006,2022-10-19,240,40,89,0.449,10,33,0.303,18,24,0.75,9,30,39,22,10,10,16,25,108,1610612740,50,102,0.49,12,26,0.462,18,25,0.72,21,40,61,31,9,4,13,21,130
2022-2023,Regular Season,1610612754,22200004,2022-10-19,240,39,97,0.402,15,42,0.357,14,21,0.667,12,30,42,21,7,5,15,20,107,1610612764,42,92,0.457,11,31,0.355,19,24,0.792,14,39,53,21,5,10,17,19,114
2022-2023,Regular Season,1610612758,22200014,2022-10-19,240,39,85,0.459,17,44,0.386,13,19,0.684,4,37,41,27,8,5,16,25,108,1610612757,39,88,0.443,11,28,0.393,26,33,0.788,11,33,44,20,11,2,11,17,115
2022-2023,Regular Season,1610612756,22200013,2022-10-19,240,40,85,0.471,8,22,0.364,19,22,0.864,8,32,40,25,4,5,12,29,107,1610612742,35,75,0.467,14,35,0.4,21,34,0.618,5,35,40,17,6,4,12,22,105
2022-2023,Regular Season,1610612759,22200011,2022-10-19,240,40,99,0.404,7,34,0.206,15,21,0.714,14,30,44,22,8,8,15,19,102,1610612766,48,94,0.511,13,29,0.448,20,23,0.87,14,37,51,26,7,10,15,20,129
2022-2023,Regular Season,1610612750,22200010,2022-10-19,240,39,94,0.415,10,38,0.263,27,33,0.818,14,41,55,25,6,5,14,21,115,1610612760,38,99,0.384,14,45,0.311,18,22,0.818,16,41,57,22,6,6,14,26,108
