person_id,first_name,last_name,birthdate,height,weight,jersey,position,team_id
1630173,Precious,Achiuwa,1999-09-19,6-8,225,5,Forward,1610612761
203500,Steven,Adams,1993-07-2,6-11,265,4,Center,1610612763
1628389,Bam,Adebayo,1997-07-18,6-9,255,13,Center-Forward,1610612748
1630534,Ochai,Agbaji,2000-04-2,6-5,215,30,Guard,1610612762
1630583,Santi,Aldama,2001-01-1,7-0,215,7,Forward-Center,1610612763
1629638,Nickeil,Alexander-Walker,1998-09-02,6-5,205,9,Guard,1610612750
1628960,Grayson,Allen,1995-10-08,6-4,198,12,Guard,1610612749
1628386,Jarrett,Allen,1998-04-21,6-9,243,31,Center,1610612739
1630631,Jose,Alvarado,1998-04-12,6-0,179,15,Guard,1610612740
203937,Kyle,Anderson,1993-09-2,6-9,230,5,Forward-Guard,1610612750
203507,Giannis,Antetokounmpo,1994-12-06,7-0,243,34,Forward,1610612749
203648,Thanasis,Antetokounmpo,1992-07-18,6-7,219,43,Forward,1610612749
1630175,Cole,Anthony,2000-05-15,6-3,185,50,Guard,1610612753
1628384,O.G.,Anunoby,1997-07-17,6-7,232,3,Forward,1610612761
201571,D.J.,Augustin,1987-11-1,5-11,183,4,Guard,1610612745
1629028,Deandre,Ayton,1998-07-23,7-0,250,22,Center,1610612756
1628962,Udoka,Azubuike,1999-09-17,6-11,270,20,Center-Forward,1610612762
1628963,Marvin,Bagley III,1999-03-14,6-10,235,35,Forward,1610612765
1631116,Patrick,Baldwin Jr.,2002-11-18,6-9,220,7,Forward,1610612744
1630163,LaMelo,Ball,2001-08-22,6-7,180,1,Guard,1610612766
1628366,Lonzo,Ball,1997-10-27,6-6,190,2,Guard,1610612741
1631094,Paolo,Banchero,2002-11-12,6-10,250,5,Forward,1610612753
1630217,Desmond,Bane,1998-06-25,6-5,215,22,Guard,1610612763
1630625,Dalano,Banton,1999-11-07,6-7,204,45,Forward,1610612761
1631230,Dominick,Barlow,2003-05-26,6-9,215,26,Forward,1610612759
203084,Harrison,Barnes,1992-05-3,6-8,225,40,Forward,1610612758
1630567,Scottie,Barnes,2001-08-01,6-8,225,4,Forward,1610612761
1629628,RJ,Barrett,2000-06-14,6-6,214,9,Forward-Guard,1610612752
203115,Will,Barton,1991-01-06,6-5,181,1,Guard,1610612761
1629646,Charles,Bassey,2000-10-28,6-9,230,28,Center-Forward,1610612759
201587,Nicolas,Batum,1988-12-14,6-8,230,33,Guard-Forward,1610612746
1629647,Darius,Bazley,2000-06-12,6-9,216,55,Forward,1610612756
203078,Bradley,Beal,1993-06-28,6-4,207,3,Guard,1610612756
1627736,Malik,Beasley,1996-11-26,6-4,187,5,Guard,1610612747
1630699,MarJon,Beauchamp,2000-10-12,6-7,199,0,Forward,1610612749
202722,Davis,Bertans,1992-11-12,6-10,225,44,Forward,1610612742
201976,Patrick,Beverley,1988-07-12,6-2,180,21,Guard,1610612741
1630180,Saddiq,Bey,1999-04-09,6-7,215,41,Forward,1610612737
203920,Khem,Birch,1992-09-28,6-8,233,24,Center,1610612759
1629048,Goga,Bitadze,1999-07-2,6-11,250,88,Center-Forward,1610612753
202687,Bismack,Biyombo,1992-08-28,6-8,255,18,Center,1610612756
1631205,Buddy,Boeheim,1999-11-11,6-6,205,27,Forward,1610612765
202711,Bojan,Bogdanovic,1989-04-18,6-7,226,44,Forward,1610612765
1629626,Bol,Bol,1999-11-16,7-2,220,10,Center-Forward,1610612753
1626164,Devin,Booker,1996-10-3,6-5,206,1,Guard,1610612756
1630527,Brandon,Boston Jr.,2001-11-28,6-6,188,4,Guard,1610612746
1628449,Chris,Boucher,1993-01-11,6-9,200,25,Forward-Center,1610612761
1631123,Jamaree,Bouyea,1999-06-27,6-2,180,11,Guard,1610612748
1631103,Malaki,Branham,2003-05-12,6-4,180,22,Forward,1610612759
1631128,Christian,Braun,2001-04-17,6-6,220,0,Guard,1610612743
1628969,Mikal,Bridges,1996-08-3,6-6,209,1,Guard-Forward,1610612751
1628970,Miles,Bridges,1998-03-21,6-7,225,0,Forward,1610612766
1629052,Oshae,Brissett,1998-06-2,6-7,210,12,Forward-Guard,1610612754
1628415,Dillon,Brooks,1996-01-22,6-6,225,24,Guard-Forward,1610612763
1628971,Bruce,Brown,1996-08-15,6-4,202,11,Guard-Forward,1610612743
1627759,Jaylen,Brown,1996-10-24,6-6,223,7,Guard-Forward,1610612738
1631112,Kendall,Brown,2003-05-11,6-7,205,10,Guard,1610612754
1628972,Troy,Brown Jr.,1999-07-28,6-7,215,7,Guard-Forward,1610612747
1628973,Jalen,Brunson,1996-08-31,6-2,190,11,Guard,1610612752
1628418,Thomas,Bryant,1997-07-31,6-10,248,13,Center-Forward,1610612748
203493,Reggie,Bullock,1991-03-16,6-6,205,25,Guard-Forward,1610612742
202692,Alec,Burks,1991-07-2,6-6,214,5,Guard,1610612765
1630215,Jared,Butler,2000-08-25,6-3,193,14,Guard,1610612760
202710,Jimmy,Butler,1989-09-14,6-7,230,22,Forward,1610612748
1631288,Jamal,Cain,1999-03-2,6-6,191,8,Forward,1610612748
203484,Kentavious,Caldwell-Pope,1993-02-18,6-5,204,5,Guard,1610612743
1628427,Vlatko,Cancar,1997-04-1,6-8,236,31,Forward,1610612743
203991,Clint,Capela,1994-05-18,6-10,256,15,Center,1610612737
1630176,Vernon,Carey Jr.,2001-02-25,6-10,270,13,Center,1610612762
1628975,Jevon,Carter,1995-09-14,6-1,200,5,Guard,1610612749
1628976,Wendell,Carter Jr.,1999-04-16,6-10,270,34,Center-Forward,1610612753
203487,Michael,Carter-Williams,1991-10-1,6-5,190,11,Guard,1610612753
1627936,Alex,Caruso,1994-02-28,6-5,186,6,Guard,1610612741
1626161,Willie,Cauley-Stein,1993-08-18,7-0,240,00,Center,1610612745
1630577,Julian,Champagnie,2001-06-29,6-7,217,30,Forward,1610612759
1630551,Justin,Champagnie,2001-06-29,6-6,206,99,Guard-Forward,1610612738
1630528,Josh,Christopher,2001-12-08,6-4,215,9,Guard,1610612745
1629634,Brandon,Clarke,1996-09-19,6-8,215,15,Forward,1610612763
203903,Jordan,Clarkson,1992-06-07,6-5,194,00,Guard,1610612762
1629651,Nic,Claxton,1999-04-17,6-11,215,33,Center,1610612751
1628381,John,Collins,1997-09-23,6-9,226,20,Forward-Center,1610612737
1628380,Zach,Collins,1997-11-19,6-11,250,23,Forward-Center,1610612759
201144,Mike,Conley,1987-10-11,6-1,175,10,Guard,1610612750
1626192,Pat,Connaughton,1993-01-06,6-5,209,24,Guard,1610612749
203496,Robert,Covington,1990-12-14,6-7,209,23,Forward,1610612746
1628470,Torrey,Craig,1990-12-19,6-7,221,0,Forward,1610612756
203109,Jae,Crowder,1990-07-06,6-6,235,99,Forward,1610612749
1630595,Cade,Cunningham,2001-09-25,6-7,220,2,Guard,1610612765
203552,Seth,Curry,1990-08-23,6-1,185,30,Guard,1610612751
201939,Stephen,Curry,1988-03-14,6-2,185,30,Guard,1610612744
1630700,Dyson,Daniels,2003-03-17,6-7,199,11,Guard,1610612740
203076,Anthony,Davis,1993-03-11,6-10,253,3,Forward-Center,1610612747
1631098,Johnny,Davis,2002-02-27,6-4,195,1,Guard,1610612764
1629056,Terence,Davis,1997-05-16,6-4,201,3,Guard,1610612758
1631120,J.D.,Davison,2002-10-03,6-1,195,20,Guard,1610612738
1630620,Darius,Days,1999-10-2,6-7,245,5,Forward,1610612745
201942,DeMar,DeRozan,1989-08-07,6-6,220,11,Guard-Forward,1610612741
203473,Dewayne,Dedmon,1989-08-12,6-10,245,14,Center,1610612755
203521,Matthew,Dellavedova,1990-09-08,6-3,200,8,Guard,1610612758
1628978,Donte,DiVincenzo,1997-01-31,6-4,203,0,Guard,1610612744
1631217,Moussa,Diabate,2002-01-21,6-10,210,25,Forward,1610612746
1629603,Mamadi,Diakite,1997-01-21,6-9,228,21,Forward,1610612739
1628977,Hamidou,Diallo,1998-07-31,6-5,202,6,Guard,1610612765
203476,Gorgui,Dieng,1990-01-18,6-10,248,41,Center,1610612759
203915,Spencer,Dinwiddie,1993-04-06,6-5,215,26,Guard,1610612751
1629029,Luka,Doncic,1999-02-28,6-7,230,77,Forward-Guard,1610612742
1629652,Luguentz,Dort,1999-04-19,6-4,220,5,Guard,1610612760
1630245,Ayo,Dosunmu,2000-01-17,6-5,200,12,Guard,1610612741
1630288,Jeff,Dowtin Jr.,1997-05-1,6-3,177,20,Guard,1610612761
1628408,PJ,Dozier,1996-10-25,6-6,205,35,Guard-Forward,1610612758
201609,Goran,Dragic,1986-05-06,6-4,190,31,Guard,1610612749
203083,Andre,Drummond,1993-08-1,6-11,279,3,Center,1610612741
1630537,Chris,Duarte,1997-06-13,6-5,190,3,Guard,1610612754
1630561,David,Duke Jr.,1999-10-13,6-4,204,6,Guard,1610612751
1627739,Kris,Dunn,1994-03-18,6-3,205,11,Guard,1610612762
201142,Kevin,Durant,1988-09-29,6-10,240,35,Forward,1610612756
1631105,Jalen,Duren,2003-11-18,6-11,250,0,Center,1610612765
1631106,Tari,Eason,2001-05-1,6-8,215,17,Forward,1610612745
1630162,Anthony,Edwards,2001-08-05,6-4,225,1,Guard,1610612750
1631165,Keon,Ellis,2000-01-08,6-3,175,23,Guard,1610612758
203954,Joel,Embiid,1994-03-16,7-0,280,21,Center-Forward,1610612755
1629234,Drew,Eubanks,1997-02-01,6-10,245,24,Forward-Center,1610612756
1628981,Bruno,Fernando,1998-08-15,6-10,240,0,Forward-Center,1610612737
1631323,Simone,Fontecchio,1995-12-09,6-7,209,16,Forward,1610612762
1630235,Trent,Forrest,1998-06-12,6-4,210,2,Guard,1610612737
203095,Evan,Fournier,1992-10-29,6-6,205,13,Guard-Forward,1610612752
1628368,De'Aaron,Fox,1997-12-2,6-3,185,5,Guard,1610612758
1628365,Markelle,Fultz,1998-05-29,6-4,209,20,Guard,1610612753
1629117,Wenyen,Gabriel,1997-03-26,6-9,205,35,Forward,1610612747
1629655,Daniel,Gafford,1998-10-01,6-10,234,21,Forward-Center,1610612764
201568,Danilo,Gallinari,1988-08-08,6-10,236,8,Forward,1610612764
1629636,Darius,Garland,2000-01-26,6-1,192,10,Guard,1610612739
1630586,Usman,Garuba,2002-03-09,6-8,229,16,Forward,1610612745
200752,Rudy,Gay,1986-08-17,6-8,250,22,Forward-Guard,1610612762
201959,Taj,Gibson,1985-06-24,6-9,232,67,Forward,1610612764
1630581,Josh,Giddey,2002-10-1,6-8,216,3,Guard,1610612760
1628983,Shai,Gilgeous-Alexander,1998-07-12,6-6,195,2,Guard,1610612760
1630264,Anthony,Gill,1992-10-17,6-8,230,16,Forward,1610612764
1631221,Collin,Gillespie,1999-06-25,6-1,195,21,Guard,1610612743
203497,Rudy,Gobert,1992-06-26,7-1,258,27,Center,1610612750
