pseudo,name,country_of_birth,birthdate,role,team
GrabbZ,Fabian Lohmann,Germany,1995-01-14,head coach,Fnatic
Gaax,Pablo Vegas Pérez,Spain,2001-04-22,coach,Fnatic
Dylan Falco,Dylan Falco,Canada,1989-03-05,head coach,G2 Esports
Memento,Jonas Elmarghichi,Sweden,1995-12-20,assistant coach,G2 Esports
Rodrigo,Rodrigo Domingues Oliveira,Portugal,1997-05-04,analyst,G2 Esports
Guilhoto,André Pereira Guilhoto,Portugal,1994-08-26,head coach,GIANTX
Emi,Emanuel Ursachi,Romania,,coach,GIANTX
Nicolas Perez,Nicolas Perez,France,1998-12-02,coach,GIANTX
Reha,Rehareha Ramanana,France,1995-07-21,head coach,Karmine Corp
Apples,Žiga Jereb,Slovenia,,assistant coach,Karmine Corp
Wadi,Wadi Benarbia,France,1998-12-06,assistant coach,Karmine Corp
Melzhet,Tomás Campelos Fernández,Spain,1994-10-07,head coach,Movistar KOI
Zeph,Quentin Viguié,France,,assistant coach,Movistar KOI
Hansen,Bjørn-Vegar Hansen,Norway,1995-12-29,assistant coach,Movistar KOI
fredy122,Simon Payne,United Kingdom,,head coach,Rogue
Trick,Kim Gang-yun,South Korea,1995-07-11,assistant coach,Rogue
OWN3R,David Rodriguez de la Torre,Spain,1999-05-21,head coach,SK Gaming
Garih,Mauro Garih Vidal,Spain,1996-08-14,assistant coach,SK Gaming
Striker,Yanis Kella,France,,head coach,Team BDS
MenQ,Marek Dziemian,Poland,1994-08-31,assistant coach,Team BDS
Machuki,Víctor Machuca Segura,Spain,1997-08-13,head coach,Team Heretics
Naruterador,Ramón Meseguer Fructuoso,Spain,1993-06-23,strategic coach,Team Heretics
Lopon,Jorge López,Spain,2001-09-15,assistant coach,Team Heretics
Mac,James MacCormack,United Kingdom,1994-02-13,head coach,Team Vitality
Kaas,Christophe van Oudheusden,Belgium,,assistant coach,Team Vitality
