patch,date,week,day,game_of_day,team_blue,team_red,winner,time,kills_team_blue,assists_team_blue,deaths_team_blue,gold_team_blue,turrets_team_blue,dragons_team_blue,barons_team_blue,kills_team_red,assists_team_red,deaths_team_red,gold_team_red,turrets_team_red,dragons_team_red,barons_team_red,top_team_blue,jungle_team_blue,mid_team_blue,bot_team_blue,sup_team_blue,top_team_red,jungle_team_red,mid_team_red,bot_team_red,sup_team_red,pick_1_team_blue,pick_2_team_blue,pick_3_team_blue,pick_4_team_blue,pick_5_team_blue,pick_1_team_red,pick_2_team_red,pick_3_team_red,pick_4_team_red,pick_5_team_red,ban_1_team_blue,ban_2_team_blue,ban_3_team_blue,ban_4_team_blue,ban_5_team_blue,ban_1_team_red,ban_2_team_red,ban_3_team_red,ban_4_team_red,ban_5_team_red
v15.1,2025-01-18,1,1,1,TH,RGE,RGE,00:38:43,3,6,11,61709,4,2,0,11,36,3,73092,11,4,2,KSante,Sejuani,Viktor,Zeri,Rell,Garen,Maokai,Orianna,Varus,Alistar,Viktor,Sejuani,KSante,Zeri,Rell,Varus,Maokai,Orianna,Garen,Alistar,Kalista,Azir,Aurora,Renata Glasc,Wukong,Skarner,Vi,Corki,Ashe,Ezreal
v15.1,2025-01-18,1,1,2,VIT,BDS,VIT,00:32:30,17,51,7,62609,10,1,1,7,18,17,51140,3,3,0,Jax,Ivern,Taliyah,Corki,Alistar,Renekton,Sejuani,Azir,Miss Fortune,Rell,Corki,Ivern,Jax,Taliyah,Alistar,Renekton,Sejuani,Azir,Rell,Miss Fortune,Varus,KSante,Maokai,Ashe,Blitzcrank,Skarner,Viktor,Elise,Leona,Kalista
v15.1,2025-01-18,1,1,3,GX,SK,GX,00:33:07,19,50,5,67444,10,1,1,5,13,19,55010,4,3,0,Jax,Maokai,Viktor,Ezreal,Rell,Jayce,Xin Zhao,Galio,Jinx,Braum,Viktor,Jax,Maokai,Rell,Ezreal,Jayce,Xin Zhao,Galio,Jinx,Braum,Kalista,Vi,Rumble,Ashe,Varus,Skarner,Corki,Gnar,Rakan,Poppy
v15.1,2025-01-18,1,1,4,MKOI,FNC,MKOI,00:30:07,19,57,2,59793,10,4,1,2,5,19,46994,1,0,0,KSante,Skarner,Azir,Varus,Rell,Jax,Ivern,Viktor,Miss Fortune,Alistar,Skarner,Varus,Rell,Azir,KSante,Miss Fortune,Ivern,Viktor,Alistar,Jax,Poppy,Ezreal,Aurora,Ornn,Gnar,Kalista,Zyra,Corki,Akali,Yone
v15.1,2025-01-18,1,1,5,KC,G2,KC,00:37:40,22,56,13,75282,10,5,1,13,20,22,65185,3,1,0,Jayce,Sejuani,Viktor,Ezreal,Alistar,Gragas,Wukong,Akali,Miss Fortune,Rell,Viktor,Ezreal,Sejuani,Alistar,Jayce,Miss Fortune,Wukong,Akali,Rell,Gragas,Azir,Maokai,Kalista,Ambessa,Gnar,Skarner,Vi,Varus,Poppy,Braum
v15.1,2025-01-19,1,2,1,TH,SK,TH,00:33:52,18,40,6,67802,11,2,2,6,21,19,58165,5,2,0,Jax,Maokai,Viktor,Ezreal,Leona,Jayce,Xin Zhao,Galio,Varus,Rell,Viktor,Maokai,Ezreal,Jax,Leona,Varus,Galio,Xin Zhao,Jayce,Rell,Rumble,Aurora,Vi,Ambessa,Renata Glasc,Skarner,Corki,Kalista,KSante,Braum
v15.1,2025-01-19,1,2,2,RGE,GX,GX,00:59:18,27,81,28,107341,8,2,2,27,69,27,113249,10,7,2,Renekton,Sejuani,Azir,Corki,Leona,Rumble,Vi,Yone,Kaisa,Rell,Corki,Sejuani,Azir,Renekton,Leona,Rumble,Vi,Yone,Kaisa,Rell,Varus,Jax,Ezreal,Ziggs,Caitlyn,Viktor,Skarner,Kalista,KSante,Poppy
v15.1,2025-01-19,1,2,3,MKOI,KC,KC,00:36:31,11,24,22,60200,3,2,1,22,60,11,70821,8,4,0,KSante,Xin Zhao,Ahri,Kalista,Renata Glasc,Rumble,Maokai,Corki,Varus,Rell,Kalista,Renata Glasc,KSante,Xin Zhao,Ahri,Corki,Maokai,Varus,Rumble,Rell,Ezreal,Caitlyn,Vi,Pyke,Seraphine,Azir,Skarner,Viktor,Orianna,Sylas
v15.1,2025-01-19,1,2,4,G2,BDS,BDS,00:31:43,10,21,12,54393,3,2,0,12,45,10,58004,8,3,1,Ambessa,Vi,Sylas,Kalista,Renata Glasc,KSante,Sejuani,Orianna,Varus,Seraphine,Vi,Kalista,Renata Glasc,Ambessa,Sylas,KSante,Varus,Sejuani,Seraphine,Orianna,Zyra,Maokai,Gnar,Cassiopeia,Neeko,Skarner,Corki,Viktor,Aurora,Gragas
v15.1,2025-01-19,1,2,5,FNC,VIT,FNC,00:28:41,29,57,9,63236,10,2,1,9,13,29,47176,3,1,0,Rumble,Skarner,Yone,Ezreal,Rell,Ambessa,Ivern,Azir,Corki,Leona,Skarner,Ezreal,Rell,Rumble,Yone,Ivern,Azir,Corki,Leona,Ambessa,Maokai,Elise,Kalista,Alistar,Jax,Viktor,KSante,Poppy,Taliyah,Orianna
v15.1,2025-01-20,1,3,1,BDS,RGE,BDS,00:38:32,24,69,8,73033,10,4,1,8,19,24,60635,2,2,0,KSante,Maokai,Hwei,Corki,Rell,Olaf,Sejuani,Cassiopeia,Kalista,Leona,Corki,Maokai,KSante,Rell,Hwei,Kalista,Sejuani,Olaf,Cassiopeia,Leona,Garen,Azir,Orianna,Renata Glasc,Alistar,Skarner,Viktor,Varus,Ezreal,Jinx
v15.1,2025-01-20,1,3,2,TH,FNC,FNC,00:25:28,4,7,20,39037,0,0,0,20,50,4,54189,9,3,0,Renekton,Ivern,Viktor,Corki,Leona,Jayce,Maokai,Hwei,Varus,Rell,Viktor,Ivern,Corki,Leona,Renekton,Maokai,Varus,Rell,Hwei,Jayce,Aurora,Kalista,Poppy,Yone,Azir,Skarner,KSante,Vi,Alistar,Jax
v15.1,2025-01-20,1,3,3,MKOI,VIT,MKOI,00:37:10,15,41,12,72839,10,3,1,12,33,16,65230,4,3,0,KSante,Zyra,Yone,Corki,Rell,Ambessa,Vi,Ahri,Ezreal,Rakan,Corki,Zyra,KSante,Rell,Yone,Vi,Ezreal,Rakan,Ambessa,Ahri,Elise,Kalista,Viktor,Gnar,Jax,Azir,Skarner,Maokai,Nautilus,Varus
v15.1,2025-01-20,1,3,4,G2,SK,G2,00:28:21,19,54,6,59011,9,4,1,6,13,19,44394,3,0,0,Poppy,Xin Zhao,Viktor,Draven,Rell,KSante,Nidalee,Yone,Corki,Leona,Viktor,Draven,Xin Zhao,Rell,Poppy,Corki,Nidalee,Yone,KSante,Leona,Rumble,Vi,Varus,Renekton,Braum,Skarner,Kalista,Maokai,Gnar,Nautilus
v15.1,2025-01-20,1,3,5,GX,KC,GX,00:37:20,11,22,2,75582,11,4,2,2,5,11,61668,2,2,0,KSante,Sejuani,Yone,Corki,Poppy,Ambessa,Vi,Taliyah,Varus,Renata Glasc,Corki,Sejuani,KSante,Yone,Poppy,Varus,Vi,Ambessa,Taliyah,Renata Glasc,Kalista,Rumble,Maokai,Aurora,Ahri,Skarner,Viktor,Jax,Ziggs,Sylas
v15.2,2025-01-25,2,1,1,RGE,FNC,FNC,00:37:20,8,18,10,64228,5,3,1,10,24,8,69246,8,3,1,KSante,Xin Zhao,Orianna,Varus,Rell,Ambessa,Vi,Corki,Kaisa,Galio,Varus,KSante,Rell,Xin Zhao,Orianna,Corki,Vi,Kaisa,Ambessa,Galio,Maokai,Poppy,Ezreal,Rumble,Rakan,Skarner,Kalista,Viktor,Azir,Cassiopeia
v15.2,2025-01-25,2,1,2,BDS,TH,TH,00:39:37,12,25,19,67367,5,2,0,19,53,12,72458,7,4,1,Renekton,Sejuani,Corki,Ezreal,Alistar,KSante,Zyra,Smolder,Varus,Rell,Sejuani,Corki,Ezreal,Alistar,Renekton,KSante,Varus,Rell,Zyra,Smolder,Jayce,Vi,Ivern,Orianna,Wukong,Skarner,Maokai,Viktor,Rumble,Gnar
v15.2,2025-01-25,2,1,3,GX,MKOI,MKOI,00:39:40,16,41,15,67101,5,1,1,15,43,16,72362,11,4,1,KSante,Sejuani,Akali,Ezreal,Poppy,Ambessa,Vi,Taliyah,Corki,Braum,KSante,Ezreal,Sejuani,Poppy,Akali,Vi,Corki,Ambessa,Taliyah,Braum,Azir,Zyra,Kalista,Kaisa,Orianna,Skarner,Viktor,Maokai,Yone,Sylas
v15.2,2025-01-25,2,1,4,VIT,G2,G2,00:47:21,13,29,18,82243,5,5,1,18,28,13,87106,11,2,2,Rumble,Maokai,Corki,Jhin,Rell,KSante,Brand,Smolder,Varus,Alistar,Maokai,Corki,Rell,Jhin,Rumble,Varus,KSante,Alistar,Brand,Smolder,Draven,Renata Glasc,Zyra,Taliyah,Azir,Skarner,Vi,Viktor,Orianna,Jax
v15.2,2025-01-25,2,1,5,KC,SK,KC,00:22:29,14,42,5,46551,8,1,0,5,11,14,36632,2,2,0,Gragas,Zyra,Corki,Draven,Rell,Rumble,Sejuani,Yone,Kalista,Renata Glasc,Corki,Zyra,Draven,Rell,Gragas,Kalista,Sejuani,Renata Glasc,Yone,Rumble,Varus,KSante,Vi,Smolder,Ambessa,Skarner,Viktor,Maokai,Pyke,Blitzcrank
v15.2,2025-01-26,2,2,1,GX,TH,GX,00:30:04,16,38,5,61336,11,4,1,5,12,16,50434,3,1,0,KSante,Vi,Azir,Varus,Rell,Ambessa,Xin Zhao,Viktor,Corki,Renata Glasc,KSante,Vi,Varus,Rell,Azir,Corki,Viktor,Ambessa,Xin Zhao,Renata Glasc,Zyra,Maokai,Kalista,Poppy,Wukong,Skarner,Rumble,Sejuani,Akali,Hwei
