tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2024-9900,United Cup,Hard,18,I,20240101,299,216347,201493,6-3 6-0,3,F,70.0,1.0,3.0,59.0,43.0,31.0,9.0,8.0,5.0,5.0,0.0,0.0,42.0,27.0,13.0,7.0,7.0,4.0,8.0
2024-9900,United Cup,Hard,18,I,20240101,297,216347,201614,4-6 6-1 6-1,3,SF,106.0,2.0,4.0,76.0,54.0,41.0,10.0,12.0,3.0,4.0,2.0,1.0,66.0,47.0,28.0,7.0,12.0,3.0,8.0
2024-9900,United Cup,Hard,18,I,20240101,295,201493,201548,4-6 6-2 7-6(7),3,SF,154.0,1.0,1.0,99.0,78.0,45.0,8.0,15.0,6.0,13.0,3.0,4.0,116.0,82.0,47.0,10.0,15.0,11.0,19.0
2024-9900,United Cup,Hard,18,I,20240101,293,216347,221012,6-2 6-3,3,QF,94.0,0.0,1.0,55.0,32.0,21.0,14.0,9.0,1.0,3.0,2.0,9.0,57.0,27.0,18.0,6.0,8.0,6.0,11.0
2024-9900,United Cup,Hard,18,I,20240101,291,201614,214935,6-2 6-7(6) 7-6(5),3,QF,153.0,15.0,4.0,101.0,62.0,46.0,28.0,16.0,1.0,2.0,4.0,6.0,111.0,72.0,51.0,22.0,16.0,3.0,6.0
2024-9900,United Cup,Hard,18,I,20240101,289,201548,210337,6-1 6-1,3,QF,64.0,0.0,3.0,37.0,19.0,16.0,9.0,7.0,1.0,2.0,1.0,2.0,42.0,30.0,11.0,3.0,7.0,3.0,9.0
2024-9900,United Cup,Hard,18,I,20240101,287,206289,201493,6-0 6-3,3,QF,73.0,3.0,2.0,52.0,32.0,24.0,10.0,8.0,3.0,4.0,0.0,2.0,52.0,33.0,16.0,6.0,7.0,6.0,11.0
2024-9900,United Cup,Hard,18,I,20240101,285,216347,204427,6-2 6-1,3,RR,88.0,2.0,0.0,49.0,30.0,22.0,13.0,8.0,4.0,4.0,0.0,2.0,51.0,40.0,20.0,2.0,7.0,6.0,10.0
2024-9900,United Cup,Hard,18,I,20240101,283,216347,206242,6-2 6-2,3,RR,77.0,0.0,0.0,49.0,37.0,25.0,8.0,8.0,3.0,4.0,2.0,1.0,46.0,33.0,14.0,5.0,8.0,3.0,8.0
2024-9900,United Cup,Hard,18,I,20240101,281,206242,204427,7-6(1) 6-2,3,RR,126.0,0.0,2.0,70.0,44.0,27.0,13.0,10.0,3.0,6.0,0.0,7.0,59.0,38.0,23.0,7.0,10.0,0.0,5.0
2024-9900,United Cup,Hard,18,I,20240101,279,206289,220367,7-6(2) 6-3,3,RR,135.0,6.0,3.0,88.0,56.0,40.0,17.0,11.0,10.0,12.0,1.0,3.0,79.0,55.0,32.0,12.0,10.0,8.0,11.0
2024-9900,United Cup,Hard,18,I,20240101,277,206289,206037,6-0 6-1,3,RR,68.0,3.0,6.0,42.0,25.0,21.0,9.0,7.0,1.0,1.0,0.0,1.0,49.0,38.0,15.0,3.0,6.0,4.0,9.0
2024-9900,United Cup,Hard,18,I,20240101,275,220367,206037,6-2 6-3,3,RR,73.0,0.0,1.0,42.0,33.0,22.0,6.0,9.0,0.0,2.0,0.0,1.0,50.0,42.0,19.0,3.0,8.0,0.0,5.0
2024-9900,United Cup,Hard,18,I,20240101,273,211107,202468,5-7 6-4 6-4,3,RR,164.0,1.0,6.0,119.0,79.0,46.0,15.0,16.0,4.0,11.0,2.0,3.0,100.0,58.0,38.0,11.0,16.0,4.0,12.0
2024-9900,United Cup,Hard,18,I,20240101,271,202468,201548,7-6(6) 6-3,3,RR,113.0,0.0,3.0,88.0,57.0,37.0,12.0,11.0,8.0,11.0,5.0,4.0,73.0,53.0,31.0,8.0,10.0,2.0,6.0
2024-9900,United Cup,Hard,18,I,20240101,269,211107,201548,6-2 6-4,3,RR,93.0,8.0,4.0,64.0,34.0,27.0,16.0,9.0,6.0,6.0,5.0,2.0,52.0,31.0,20.0,11.0,9.0,0.0,3.0
2024-9900,United Cup,Hard,18,I,20240101,267,201614,211148,6-4 5-7 6-4,3,RR,136.0,11.0,5.0,95.0,57.0,41.0,17.0,16.0,0.0,4.0,3.0,1.0,88.0,57.0,37.0,19.0,16.0,3.0,8.0
2024-9900,United Cup,Hard,18,I,20240101,265,201614,201493,1-6 6-2 6-2,3,RR,89.0,10.0,0.0,72.0,46.0,32.0,13.0,12.0,2.0,5.0,2.0,2.0,75.0,50.0,29.0,15.0,11.0,7.0,11.0
2024-9900,United Cup,Hard,18,I,20240101,263,211148,201493,6-4 7-5,3,RR,108.0,3.0,0.0,72.0,48.0,27.0,12.0,11.0,6.0,10.0,0.0,2.0,95.0,75.0,39.0,8.0,11.0,15.0,21.0
2024-9900,United Cup,Hard,18,I,20240101,261,221012,214954,6-1 2-6 6-1,3,RR,108.0,2.0,4.0,64.0,29.0,22.0,17.0,11.0,1.0,4.0,1.0,6.0,69.0,43.0,20.0,11.0,11.0,6.0,12.0
2024-9900,United Cup,Hard,18,I,20240101,259,214954,215337,6-1 3-6 6-3,3,RR,124.0,5.0,8.0,88.0,62.0,40.0,9.0,13.0,6.0,10.0,2.0,3.0,76.0,50.0,28.0,11.0,12.0,1.0,7.0
2024-9900,United Cup,Hard,18,I,20240101,257,221012,215337,6-4 6-2,3,RR,97.0,8.0,1.0,60.0,34.0,24.0,15.0,9.0,2.0,3.0,2.0,2.0,56.0,37.0,21.0,8.0,9.0,2.0,6.0
2024-9900,United Cup,Hard,18,I,20240101,255,202499,201551,6-2 3-6 6-1,3,RR,112.0,5.0,6.0,70.0,49.0,38.0,9.0,12.0,3.0,5.0,2.0,4.0,70.0,48.0,30.0,9.0,12.0,1.0,6.0
2024-9900,United Cup,Hard,18,I,20240101,253,202499,214935,7-5 3-6 6-3,3,RR,169.0,6.0,5.0,98.0,58.0,44.0,17.0,15.0,7.0,10.0,0.0,2.0,110.0,69.0,43.0,18.0,15.0,5.0,9.0
2024-9900,United Cup,Hard,18,I,20240101,251,201551,214935,7-6(4) 6-1,3,RR,104.0,5.0,3.0,65.0,38.0,30.0,16.0,10.0,1.0,2.0,1.0,5.0,58.0,36.0,26.0,8.0,9.0,1.0,4.0
2024-800,Brisbane,Hard,64,P,20240101,300,214981,214544,6-0 6-3,3,F,73.0,7.0,0.0,45.0,30.0,22.0,9.0,8.0,0.0,1.0,3.0,1.0,52.0,32.0,17.0,7.0,7.0,2.0,7.0
2024-800,Brisbane,Hard,64,P,20240101,299,214544,201458,6-2 6-4,3,SF,89.0,10.0,3.0,60.0,40.0,31.0,10.0,9.0,3.0,3.0,3.0,3.0,56.0,37.0,25.0,8.0,9.0,5.0,8.0
2024-800,Brisbane,Hard,64,P,20240101,298,214981,222328,6-3 6-2,3,SF,63.0,8.0,1.0,53.0,40.0,32.0,7.0,9.0,4.0,4.0,1.0,4.0,51.0,28.0,20.0,9.0,8.0,2.0,5.0
2024-800,Brisbane,Hard,64,P,20240101,297,214544,214082,6-1 6-4,3,QF,86.0,4.0,2.0,61.0,38.0,30.0,10.0,9.0,3.0,4.0,0.0,5.0,60.0,39.0,26.0,4.0,8.0,7.0,11.0
2024-800,Brisbane,Hard,64,P,20240101,296,201458,211533,6-3 3-6 7-5,3,QF,150.0,16.0,2.0,111.0,71.0,53.0,17.0,15.0,7.0,10.0,2.0,5.0,92.0,50.0,33.0,20.0,15.0,4.0,8.0
2024-800,Brisbane,Hard,64,P,20240101,295,222328,259799,7-5 6-3,3,QF,100.0,5.0,4.0,79.0,49.0,30.0,14.0,11.0,7.0,11.0,2.0,4.0,61.0,30.0,16.0,15.0,10.0,2.0,8.0
2024-800,Brisbane,Hard,64,P,20240101,294,214981,215713,6-1 RET,3,QF,32.0,2.0,0.0,25.0,17.0,13.0,4.0,4.0,3.0,3.0,0.0,0.0,18.0,11.0,3.0,5.0,3.0,1.0,3.0
2024-800,Brisbane,Hard,64,P,20240101,293,214544,202684,6-1 6-0,3,R16,69.0,9.0,2.0,54.0,31.0,24.0,11.0,7.0,4.0,5.0,1.0,4.0,38.0,21.0,11.0,1.0,6.0,5.0,11.0
2024-800,Brisbane,Hard,64,P,20240101,292,214082,202663,6-4 6-2,3,R16,88.0,4.0,3.0,58.0,37.0,31.0,6.0,9.0,2.0,4.0,2.0,3.0,64.0,42.0,23.0,8.0,9.0,8.0,13.0
2024-800,Brisbane,Hard,64,P,20240101,291,211533,201662,6-2 4-6 6-3,3,R16,137.0,4.0,5.0,104.0,65.0,41.0,21.0,14.0,8.0,11.0,18.0,3.0,100.0,58.0,42.0,13.0,13.0,7.0,12.0
2024-800,Brisbane,Hard,64,P,20240101,290,201458,216262,7-5 6-2,3,R16,93.0,3.0,2.0,69.0,56.0,41.0,3.0,10.0,4.0,5.0,3.0,2.0,51.0,34.0,20.0,7.0,10.0,1.0,5.0
