name,country_code,height,birth_date,birth_place,nickname
CAZAUTE Helena,FRA,184,1997-12-17,Narbonne,Caz
BAUER Christina,FRA,196,1988-01-01,Bergen,
SYLVES Amandha,FRA,194,2000-12-29,Baie-mahault,
GELIN Juliette,FRA,162,2001-11-02,Montpellier,Juju
ROTAR Amelie,FRA,188,2000-10-24,,
GIARDINO Amandine,FRA,172,1995-03-30,La Seyne-sur-mer,
OLINGA ANDELA Leandra,FRA,185,1997-08-12,,
RESPAUT Emilie,FRA,176,2003-04-25,Saint-raphael,
STOJILJKOVIC Nina,FRA,180,1996-09-01,Paris,
BAH Halimatou,FRA,185,2003-12-21,Epinay-sous-senart,
GICQUEL Lucille,FRA,189,1997-11-13,Rennes,Lulu
SCHALK Maeva,FRA,185,2005-12-14,,
NDIAYE Iman,FRA,188,2002-01-13,Paris,
ERDEM DUNDAR Eda,TUR,188,1987-06-22,Istanbul,"Edi, Eduska"
OZBAY Cansu,TUR,179,1996-10-17,Izmir,
SAHIN Elif,TUR,184,2001-01-19,Ankara,
ORGE Gizem,TUR,172,1993-04-26,Ankara,Minister of Defence
GUNES Zehra,TUR,198,1999-07-07,Istanbul,
ARICI Beyza,TUR,190,1995-07-27,,
KALAC Asli,TUR,185,1995-12-13,Istanbul,
VARGAS Melissa Teresa,TUR,194,1999-10-16,Cienfuegos,Vargas Airlines
KARAKURT Ebrar,TUR,195,2000-01-17,Balikesir,
BALADIN Hande,TUR,187,1997-09-01,K?tahya,
DIKEN Meliha,TUR,182,1993-09-17,Gradacac,Melly
AYDIN Ilkin,TUR,179,2000-01-05,,
CEBECIOGLU Derya,TUR,181,2000-10-24,Mersin,
SIMIYU Loice Masitsa,KEN,182,2001-08-20,,Bouncer
KUNDU Agripina Khayesi,KEN,155,1993-04-24,Kakamega,
ATUKA Trizah,KEN,189,1992-04-14,Kakamega,
OWINO Pamella Adhiambo,KEN,172,2001-09-26,Kisumu County,
KIPRONO Sharon Chepchumba,KEN,183,1998-10-26,,Chumba
MUKUVILANI Edith,KEN,184,1994-07-20,,Wisah
KASAYA Leonida,KEN,168,1993-10-10,Kakamega,
MISOKI Emmanculate Nekesa,KEN,184,2003-06-06,,
MUTINDA Esther Kemene,KEN,176,1999-04-21,,
NAMUTIRA Juliana,KEN,181,1999-05-14,Kakamenga,"Bulldozer, Tila"
KAEI Lorine Chebet,KEN,179,1999-10-08,Mt. Elgon,
BARASA Belinda Nanjala,KEN,188,2001-04-28,,
TAPIA CRUZ Alondra Denis,DOM,193,2004-05-19,La Vega,
RODRIGUEZ FUNG Ariana,DOM,184,2005-11-03,,
de la CRUZ de PENA Bethania,DOM,188,1987-05-13,Santo Domingo,"Big Beth, Bethy, Betty"
MARTINEZ Brayelin Elizabeth,DOM,201,1996-09-11,Santo Domingo,Brats
CASTILLO Brenda,DOM,167,1992-06-05,Haina,"Chinchin, Shorty, Minor, La Peque"
ARIAS PEREZ Candida Estefany,DOM,194,1992-03-11,Yaguate,"Yaguate, Candi"
GONZALEZ LOPEZ Gaila Ceneida,DOM,190,1997-06-25,Santo Domingo,Zurda de Oro (Golden Lefty)
GONZALEZ Geraldine Sthefany,DOM,200,2002-04-18,,
MARTINEZ Jineiry,DOM,192,1997-12-03,Santo Domingo,La Chiqui
GUILLEN PAREDES Madeline Jazmin,DOM,186,2001-06-04,Manoguayabo,
MARTE FRICA Niverka Dharlenis,DOM,178,1990-10-19,Santo Domingo,"Nive, Clic-Clic, The Chancellor"
PENA ISABEL Yonkaira Paola,DOM,190,1993-05-10,Santo Domingo,Yonky
DIAO Linyu,CHN,183,1994-04-07,Huai'an,
DING Xia,CHN,180,1990-01-13,Shijiazhuang,Little Ant
GAO Yi,CHN,195,1998-07-22,Zaozhuang,
GONG Xiangyu,CHN,189,1997-04-21,Lianyungang,Xiao Yuzhou (Little Universe)
LI Yingying,CHN,195,2000-02-19,Qiqihar,Meimei (Little Sister)
WANG Mengjie,CHN,173,1995-11-14,Jinan,Xiao Ke'ai (Little Cutie)
WU Mengjie,CHN,195,2002-09-10,Jiangsu,
